age,name,location,organization,position,orgClass
39.0,丁强,深圳市,原市规划与国土资源局规划处,副处长,国有资产监督管理
39.0,丁强,深圳市,原市规划局规划处,副处长;总师室调研员,国有资产监督管理
39.0,丁强,深圳市,市规划国土委地区规划处,处长,国有资产监督管理
39.0,丁强,深圳市,科技信息处,处长,科学技术
39.0,丁强,深圳市,龙华管理局,局长,机关
39.0,丁强,深圳市,深汕特别合作区管委会,副主任,Else
39.0,丁强,深圳市,总体规划处（市城市规划委员会秘书处）,Blank,国有资产监督管理
39.0,丁强,深圳市,地区规划处（地名处）,Blank,国有资产监督管理
39.0,丁强,深圳市,城市和建筑设计处（市雕塑办公室）,Blank,住房
39.0,丁强,深圳市,盐田管理局,Blank,机关
39.0,丁强,深圳市,深汕合作区管理局,Blank,机关
39.0,丁强,深圳市,市规划国土发展研究中心,Blank,发展和改革委员会
39.0,丁强,深圳市,市公共艺术中心（深圳雕塑院、市城市设计促进中心）,Blank,国有资产监督管理
39.0,丁强,深圳市,市当代艺术馆与城市规划展览馆,Blank,国有资产监督管理
40.0,于宝明,深圳市,市运输局建设处,处长,住房
40.0,于宝明,深圳市,市交通局规划建设处,调研员;处长,住房
40.0,于宝明,深圳市,市交通局,总工程师;副局长,交通运输
40.0,于宝明,深圳市,市交通运输委,党组成员;副主任,交通运输
41.0,余璟,深圳市,能源集团东部电厂,总经理,能源
41.0,余璟,深圳市,东部电厂二期厂,办主任,Else
39.0,凌冲,深圳市,深圳市委员会,副部长;部长,党
39.0,凌冲,深圳市,深圳市团校,副校长(正处级),Else
39.0,凌冲,深圳市,深圳市委教育基地,主任,教育
39.0,凌冲,深圳市,深圳市老龄工作委员会办公室,主任,党
39.0,凌冲,深圳市,市民政局救灾救济和低保处,处长,民政
39.0,凌冲,深圳市,市民政局救灾救助和慈善处,处长,民政
39.0,凌冲,深圳市,市民间组织管理局,局长,机关
39.0,凌冲,深圳市,社会组织管理局,Blank,机关
39.0,凌冲,深圳市,社会组织,Blank,Else
44.0,刘世会,深圳市,市规划与国土资源局机关服务中心,中心主任,国有资产监督管理
44.0,刘世会,深圳市,市国土资源和房产管理局,办公室主任,住房
44.0,刘世会,深圳市,地政和监察分局,局长,司法
44.0,刘世会,深圳市,直属分局,局长,Else
44.0,刘世会,深圳市,市规划和国土资源委员会行政监察处,处长,司法
44.0,刘世会,深圳市,秘书处,处长,Else
44.0,刘世会,深圳市,办公室（信访办）,Blank,信访
44.0,刘世会,深圳市,机关党委（人事处）,Blank,人力资源
44.0,刘世会,深圳市,龙岗管理局,Blank,机关
44.0,刘世会,深圳市,坪山管理局,Blank,机关
44.0,刘世会,深圳市,山水宾馆,Blank,Else
34.0,刘伟,深圳市,人民政府办公厅综合处,主任科员,民政
42.0,刘初汉,深圳市,深圳市城管局（市城管执法局）,副局长;党委委员,Else
42.0,刘初汉,深圳市,深圳市府城管办（市城管执法局）,副主任（副局长）;党委委员,Else
35.0,卢旭阳,深圳市,深圳市环保局环境监督管理处,副处长,生态环境
35.0,卢旭阳,深圳市,深圳市机动车排污监督管理办公室,副主任,市场监督
41.0,吴学龙,深圳市,深圳市环境卫生管理处,党委副书记;主任,生态环境
35.0,吴远翔,深圳市,深圳市委办公厅综合一处,副处长,党
