age,name,location,organization,position
20.0,刘世会,深圳市,市规划与国土资源局机关服务中心,中心主任
20.0,刘世会,深圳市,市国土资源和房产管理局,办公室主任
20.0,刘世会,深圳市,地政和监察分局,局长
20.0,刘世会,深圳市,直属分局,局长
20.0,刘世会,深圳市,市规划和国土资源委员会行政监察处,处长
20.0,刘世会,深圳市,秘书处,处长
20.0,刘世会,深圳市,办公室（信访办）,Blank
20.0,刘世会,深圳市,机关党委（人事处）,Blank
20.0,刘世会,深圳市,龙岗管理局,Blank
20.0,刘世会,深圳市,坪山管理局,Blank
20.0,刘世会,深圳市,山水宾馆,Blank
17.0,吴学龙,北京市,清华大学土木工程系,学员
19.0,张福通,深圳市,市财政培训中心,主任（副处级）
19.0,张福通,深圳市,市财政局,党组成员;总经济师（副局级）
19.0,张福通,深圳市,市财政局,党组成员;副局长
19.0,张福通,深圳市,市财政委员会,党组成员;副主任
19.0,曾岳雄,深圳市,深圳警备区,营级干事
19.0,曾岳雄,深圳市,深圳市盐田区委（区政府）,办公室副主任
19.0,曾岳雄,深圳市,盐田区城市管理局,局长
19.0,曾岳雄,深圳市,盐田区沙头角街道,党工委书记;办事处主任;区委委员
19.0,曾岳雄,深圳市,盐田区委,常委;区社会工作委员会主任
19.0,沙新华,吉林省,吉林工业大学机械制造管理工程,本科学士
18.0,王伟雄,广东省,中山大学自然地理专业,学生
19.0,苏剑,深圳市,市公路局政工人事处,处长
19.0,苏剑,深圳市,深圳市交通运输委员会光明交通局,局长
19.0,苏剑,深圳市,西部交通局,局长
19.0,苏剑,深圳市,深圳市交通运输委员会政工人事处,处长
19.0,苏剑,深圳市,深圳市交通运输局机关,党委（人事处）处长
21.0,许露露,深圳市,部队,兵人
20.0,邱宣,广西省,广西师范大学化学系,本科学生
20.0,郑小霞,深圳市,市民政局办公室,助理调研员
20.0,郑小霞,深圳市,财务审计处,副处长
20.0,郑小霞,深圳市,政工人事处,处长
20.0,郑小霞,深圳市,社会福利和社会事务处,处长
20.0,郑小霞,深圳市,市社会福利中心,Blank
20.0,郑小霞,深圳市,分管领域和分管部门单位,Blank
17.0,郭建,深圳市,深圳市委组织部老干处,副处长
17.0,郭建,深圳市,组织处,处长
17.0,郭建,深圳市,组织一处,主任
17.0,郭建,深圳市,组织二处,调研员
17.0,郭建,深圳市,机关,调研员
17.0,郭建,深圳市,Blank,党委副书记
17.0,郭建,深圳市,分管领域和分管部门单位,Blank
17.0,黄臻,哈尔滨市,哈尔滨工业大学,本科生
